Active servers:
IP:port               | Gametype  | Name
----------------------+-----------+------------------------------
5.135.46.179:28916    | CTF       | (#1)SERVER
99.192.52.108:28950   | DM        | After The Burial(lobby)
5.135.46.179:28912    | Arsenal   | Arsenal-Megalag[UT-Sounds]
94.23.195.203:28912   | Assassin  | Assassin Bastards
45.3.12.200:28910     | CTF       | Bastard's Corner
45.3.27.104:28910     | CTF       | Bastard's Corner
51.75.130.126:28910   | CTF       | Bastard's Corner 2
94.23.195.203:28914   | DM        | Bastard's Corner DM
94.23.195.203:28916   | Team CTB  | Bastards on the Bunker
102.66.192.86:17242   | DM        | CGZA - SoF Deathmatch
213.184.111.80:20000  | DM        | ChAoS Unlimited Fire DM Fiber
99.192.52.108:28930   | COOP      | Cooperative Mission
99.192.52.108:28920   | COOP      | Cooperative Mission (Single Player)
5.135.46.179:28920    | CTF       | Free Server Mode - CTF (unclaimed)
5.135.46.179:28922    | DM        | Free Server Mode - DM (unclaimed)
5.135.46.179:28914    | DM        | Lag DM
5.135.46.179:28910    | DM        | Mad Onion
93.234.58.55:28910    | DM        | MHP-Clan.de
50.107.98.75:28910    | DM        | * * * S H M O O  ' S   G A M E * * * 
5.135.46.179:28926    | CTF       | [$$] , !CTF! & [Ç#] SerVer
5.135.46.179:28918    | DM        | UT 1995

Inactive servers:
Offline  | IP:port               | Gametype  | Name
---------+-----------------------+-----------+------------------------------
36 days  | 47.55.42.167:28950    | DM        | After The Burial-[Lobby]
4 days   | 45.3.12.200:28912     | Assassin  | Assassin Bastards
4 days   | 45.3.20.254:28912     | Assassin  | Assassin Bastards
24 days  | 45.3.0.180:28912      | Assassin  | Assassin Bastards
25 days  | 45.3.16.202:28912     | Assassin  | Assassin Bastards
29 days  | 24.50.191.203:28912   | Assassin  | Assassin Bastards
32 days  | 24.50.169.4:28912     | Assassin  | Assassin Bastards
33 days  | 24.50.179.12:28912    | Assassin  | Assassin Bastards
97 days  | 24.50.170.83:28912    | Assassin  | Assassin Bastards
15 days  | 99.192.52.108:28940   | CTF       | ATB-jpn
4 days   | 94.23.195.203:28918   | CTF       | Bastard's Corner
9 days   | 45.3.20.254:28910     | CTF       | Bastard's Corner
11 days  | 45.3.6.51:28910       | CTF       | Bastard's Corner
18 days  | 45.3.0.180:28910      | CTF       | Bastard's Corner
22 days  | 94.23.195.203:28920   | CTF       | Bastard's Corner
25 days  | 45.3.16.202:28910     | CTF       | Bastard's Corner
29 days  | 24.50.191.203:28910   | CTF       | Bastard's Corner
32 days  | 24.50.169.4:28910     | CTF       | Bastard's Corner
33 days  | 24.50.179.12:28910    | CTF       | Bastard's Corner
33 days  | 24.50.190.106:28910   | CTF       | Bastard's Corner
39 days  | 24.50.190.32:28910    | CTF       | Bastard's Corner
44 days  | 24.50.184.37:28910    | CTF       | Bastard's Corner
46 days  | 24.50.183.194:28910   | CTF       | Bastard's Corner
53 days  | 45.3.29.145:28910     | CTF       | Bastard's Corner
60 days  | 24.50.191.80:28910    | CTF       | Bastard's Corner
61 days  | 24.50.178.222:28910   | CTF       | Bastard's Corner
67 days  | 45.3.19.218:28910     | CTF       | Bastard's Corner
68 days  | 45.3.25.19:28910      | CTF       | Bastard's Corner
74 days  | 45.3.29.233:28910     | CTF       | Bastard's Corner
78 days  | 45.3.25.42:28910      | CTF       | Bastard's Corner
81 days  | 45.3.0.213:28910      | CTF       | Bastard's Corner
88 days  | 24.50.165.63:28910    | CTF       | Bastard's Corner
88 days  | 45.3.7.200:28910      | CTF       | Bastard's Corner
92 days  | 45.3.26.194:28910     | CTF       | Bastard's Corner
95 days  | 45.3.30.87:28910      | CTF       | Bastard's Corner
96 days  | 24.50.170.83:28910    | CTF       | Bastard's Corner
6 days   | 51.75.130.126:28918   | Arsenal   | Bastard's Corner Arsenal
